key,year,title,download_target,retrieval_status,pdf_path,notes
learning-representations-for-counterfactual-inference,2016,Learning Representations for Counterfactual Inference,1605.03661,downloaded,downloads/arXiv 1605.03661.pdf,Strict current-date 10-year cutoff starts 2016-06-27; retained for field coverage.
estimating-individual-treatment-effect-generalization-bounds-and-algorit,2016,Estimating individual treatment effect: generalization bounds and algorithms,1606.03976,downloaded,downloads/arXiv 1606.03976.pdf,Strict current-date 10-year cutoff starts 2016-06-27; retained for field coverage.
counterfactual-prediction-with-deep-instrumental-variables-networks,2016,Counterfactual Prediction with Deep Instrumental Variables Networks,1612.09596,downloaded,downloads/arXiv 1612.09596.pdf,
causal-effect-inference-with-deep-latent-variable-models,2017,Causal Effect Inference with Deep Latent-Variable Models,1705.08821,downloaded,downloads/arXiv 1705.08821.pdf,
deep-counterfactual-networks-with-propensity-dropout,2017,Deep Counterfactual Networks with Propensity-Dropout,1706.05966,downloaded,downloads/arXiv 1706.05966.pdf,
generative-adversarial-nets-for-individualized-treatment-effects,2018,Generative Adversarial Nets for Individualized Treatment Effects,https://openreview.net/pdf?id=ByKWUeWA-&download=1,downloaded,downloads/pdf-id=ByKWUeWA-&download=1.pdf,
learning-causal-structures-for-individualized-treatment-effects,2018,Learning Causal Structures for Individualized Treatment Effects,Learning Causal Structures for Individualized Treatment Effects,missing,,websource may find a public author copy; quick DOI/arXiv checks did not verify one.
deep-learning-for-causal-inference,2018,Deep Learning for Causal Inference,1803.00149,downloaded,downloads/arXiv 1803.00149.pdf,
transfer-learning-for-estimating-causal-effects-using-neural-networks,2018,Transfer Learning for Estimating Causal Effects using Neural Networks,1808.07804,downloaded,downloads/arXiv 1808.07804.pdf,
deep-neural-networks-for-estimation-and-inference,2018,Deep Neural Networks for Estimation and Inference,1809.09953,downloaded,downloads/arXiv 1809.09953.pdf,
perfect-match-a-simple-method-for-learning-representations-for-counterfa,2018,Perfect Match: A Simple Method for Learning Representations For Counterfactual Inference With Neural Networks,1810.00656,downloaded,downloads/arXiv 1810.00656.pdf,
heterogeneous-treatment-effect-estimation-through-deep-learning,2018,Heterogeneous Treatment Effect Estimation through Deep Learning,1810.11010,downloaded,downloads/arXiv 1810.11010.pdf,
orthogonal-statistical-learning,2019,Orthogonal Statistical Learning,1901.09036,downloaded,downloads/arXiv 1901.09036.pdf,
time-series-deconfounder-estimating-treatment-effects-over-time-in-the-p,2019,Time Series Deconfounder: Estimating Treatment Effects over Time in the Presence of Hidden Confounders,1902.00450,downloaded,downloads/arXiv 1902.00450.pdf,
deep-generalized-method-of-moments-for-instrumental-variable-analysis,2019,Deep Generalized Method of Moments for Instrumental Variable Analysis,1905.12495,downloaded,downloads/arXiv 1905.12495.pdf,
adapting-neural-networks-for-the-estimation-of-treatment-effects,2019,Adapting Neural Networks for the Estimation of Treatment Effects,1906.02120,downloaded,downloads/arXiv 1906.02120.pdf,
learning-overlapping-representations-for-the-estimation-of-individualize,2020,Learning Overlapping Representations for the Estimation of Individualized Treatment Effects,2001.04754,downloaded,downloads/arXiv 2001.04754.pdf,
treatment-effect-estimation-with-disentangled-latent-factors,2020,Treatment effect estimation with disentangled latent factors,2001.10652,downloaded,downloads/arXiv 2001.10652.pdf,
estimating-counterfactual-treatment-outcomes-over-time-through-adversari,2020,Estimating Counterfactual Treatment Outcomes over Time Through Adversarially Balanced Representations,2002.04083,downloaded,downloads/arXiv 2002.04083.pdf,
