key,title,authors,year,date,venue,doi,arxiv_id,url,download_target,tags,inclusion,source,local_reference,retrieval_status,pdf_path,notes
learning-representations-for-counterfactual-inference,Learning Representations for Counterfactual Inference,Fredrik D. Johansson; Uri Shalit; David Sontag,2016,2016-05-12,arXiv,,1605.03661,https://arxiv.org/abs/1605.03661,1605.03661,ite; representation; counterfactual-regression; foundational-boundary,Foundational counterfactual representation paper; included as a 2016 boundary item.,arXiv API / curated query set,,downloaded,downloads/arXiv 1605.03661.pdf,Strict current-date 10-year cutoff starts 2016-06-27; retained for field coverage.
estimating-individual-treatment-effect-generalization-bounds-and-algorit,Estimating individual treatment effect: generalization bounds and algorithms,Uri Shalit; Fredrik D. Johansson; David Sontag,2016,2016-06-13,arXiv,,1606.03976,https://arxiv.org/abs/1606.03976,1606.03976,ite; cfr; tarnet; representation; foundational-boundary,Foundational TARNet/CFR generalization bounds paper; included as a 2016 boundary item.,arXiv API / curated query set,,downloaded,downloads/arXiv 1606.03976.pdf,Strict current-date 10-year cutoff starts 2016-06-27; retained for field coverage.
counterfactual-prediction-with-deep-instrumental-variables-networks,Counterfactual Prediction with Deep Instrumental Variables Networks,Jason Hartford; Greg Lewis; Kevin Leyton-Brown; Matt Taddy,2016,2016-12-30,arXiv,,1612.09596,https://arxiv.org/abs/1612.09596,1612.09596,iv; deepiv; counterfactual,Deep IV network for counterfactual prediction.,arXiv API / curated query set,,downloaded,downloads/arXiv 1612.09596.pdf,
causal-effect-inference-with-deep-latent-variable-models,Causal Effect Inference with Deep Latent-Variable Models,Christos Louizos; Uri Shalit; Joris Mooij; David Sontag; Richard Zemel; Max Welling,2017,2017-05-24,arXiv,,1705.08821,https://arxiv.org/abs/1705.08821,1705.08821,ite; cevae; latent-confounding; variational,CEVAE latent-variable deep causal model for treatment effects.,arXiv API / curated query set,,downloaded,downloads/arXiv 1705.08821.pdf,
deep-counterfactual-networks-with-propensity-dropout,Deep Counterfactual Networks with Propensity-Dropout,Ahmed M. Alaa; Michael Weisz; Mihaela van der Schaar,2017,2017-06-19,arXiv,,1706.05966,https://arxiv.org/abs/1706.05966,1706.05966,ite; counterfactual; propensity; neural,Deep counterfactual network architecture with propensity-dropout.,arXiv API / curated query set,,downloaded,downloads/arXiv 1706.05966.pdf,
generative-adversarial-nets-for-individualized-treatment-effects,Generative Adversarial Nets for Individualized Treatment Effects,Jinsung Yoon; James Jordon; Mihaela van der Schaar,2018,2017-11-27,ICLR 2018,,,https://openreview.net/forum?id=ByKWUeWA-,https://openreview.net/pdf?id=ByKWUeWA-&download=1,ite; ganite; adversarial; openreview,GANITE paper with a confirmed public OpenReview PDF.,OpenReview API / public PDF,,downloaded,downloads/pdf-id=ByKWUeWA-&download=1.pdf,
learning-causal-structures-for-individualized-treatment-effects,Learning Causal Structures for Individualized Treatment Effects,,2018,2018-01-01,IJCAI 2018,,,,Learning Causal Structures for Individualized Treatment Effects,ite; site; representation; unresolved-pdf,"Named SITE method; retained in index, but no verified public PDF route was found in this pass.",Curated named-method check,,missing,,websource may find a public author copy; quick DOI/arXiv checks did not verify one.
deep-learning-for-causal-inference,Deep Learning for Causal Inference,Vikas Ramachandra,2018,2018-03-01,arXiv,,1803.00149,https://arxiv.org/abs/1803.00149,1803.00149,ite; review; deep-learning,Early survey/tutorial treatment of deep learning for causal inference.,arXiv API / curated query set,,downloaded,downloads/arXiv 1803.00149.pdf,
transfer-learning-for-estimating-causal-effects-using-neural-networks,Transfer Learning for Estimating Causal Effects using Neural Networks,Sören R. Künzel; Bradly C. Stadie; Nikita Vemuri; Varsha Ramakrishnan; Jasjeet S. Sekhon; Pieter Abbeel,2018,2018-08-23,arXiv,,1808.07804,https://arxiv.org/abs/1808.07804,1808.07804,ite; transfer-learning; neural,Neural transfer learning for causal effect estimation.,arXiv API / curated query set,,downloaded,downloads/arXiv 1808.07804.pdf,
deep-neural-networks-for-estimation-and-inference,Deep Neural Networks for Estimation and Inference,Max H. Farrell; Tengyuan Liang; Sanjog Misra,2018,2018-09-26,arXiv,,1809.09953,https://arxiv.org/abs/1809.09953,1809.09953,deep-inference; semiparametric; neural-networks; local-reference,DNN estimation and inference theory directly relevant to this repo.,arXiv API / curated query set,references/FLM2021_docling.md,downloaded,downloads/arXiv 1809.09953.pdf,
