key,year,title,arxiv_id,doi,pdf_path,markdown_path,tex_dir,tex_file_count,source_file_count,retrieval_status,tags
learning-representations-for-counterfactual-inference,2016,Learning Representations for Counterfactual Inference,1605.03661,,downloads/arXiv 1605.03661.pdf,markdown_docling/arXiv 1605.03661.md,tex_sources/extracted/1605.03661,13,16,downloaded,ite; representation; counterfactual-regression; foundational-boundary
estimating-individual-treatment-effect-generalization-bounds-and-algorit,2016,Estimating individual treatment effect: generalization bounds and algorithms,1606.03976,,downloads/arXiv 1606.03976.pdf,markdown_docling/arXiv 1606.03976.md,tex_sources/extracted/1606.03976,10,17,downloaded,ite; cfr; tarnet; representation; foundational-boundary
counterfactual-prediction-with-deep-instrumental-variables-networks,2016,Counterfactual Prediction with Deep Instrumental Variables Networks,1612.09596,,downloads/arXiv 1612.09596.pdf,markdown_docling/arXiv 1612.09596.md,tex_sources/extracted/1612.09596,1,2,downloaded,iv; deepiv; counterfactual
causal-effect-inference-with-deep-latent-variable-models,2017,Causal Effect Inference with Deep Latent-Variable Models,1705.08821,,downloads/arXiv 1705.08821.pdf,markdown_docling/arXiv 1705.08821.md,tex_sources/extracted/1705.08821,8,14,downloaded,ite; cevae; latent-confounding; variational
deep-counterfactual-networks-with-propensity-dropout,2017,Deep Counterfactual Networks with Propensity-Dropout,1706.05966,,downloads/arXiv 1706.05966.pdf,markdown_docling/arXiv 1706.05966.md,tex_sources/extracted/1706.05966,1,3,downloaded,ite; counterfactual; propensity; neural
generative-adversarial-nets-for-individualized-treatment-effects,2018,Generative Adversarial Nets for Individualized Treatment Effects,,,downloads/pdf-id=ByKWUeWA-&download=1.pdf,markdown_docling/pdf-id=ByKWUeWA-&download=1.md,,0,0,downloaded,ite; ganite; adversarial; openreview
learning-causal-structures-for-individualized-treatment-effects,2018,Learning Causal Structures for Individualized Treatment Effects,,,,,,0,0,missing,ite; site; representation; unresolved-pdf
deep-learning-for-causal-inference,2018,Deep Learning for Causal Inference,1803.00149,,downloads/arXiv 1803.00149.pdf,markdown_docling/arXiv 1803.00149.md,tex_sources/extracted/1803.00149,0,0,downloaded,ite; review; deep-learning
transfer-learning-for-estimating-causal-effects-using-neural-networks,2018,Transfer Learning for Estimating Causal Effects using Neural Networks,1808.07804,,downloads/arXiv 1808.07804.pdf,markdown_docling/arXiv 1808.07804.md,tex_sources/extracted/1808.07804,17,19,downloaded,ite; transfer-learning; neural
deep-neural-networks-for-estimation-and-inference,2018,Deep Neural Networks for Estimation and Inference,1809.09953,,downloads/arXiv 1809.09953.pdf,markdown_docling/arXiv 1809.09953.md,tex_sources/extracted/1809.09953,1,2,downloaded,deep-inference; semiparametric; neural-networks; local-reference
